zipcode,street_address,city,store_name,store_no,zip_state,distance
11790,2150 Nesconset Highway,Stony Brook,Stony Brook Lowe's,2233,NY,23.4
11763,2796 Route 112,Medford,Medford Lowe's,1189,NY,27.1
11725,100 Long Island Expressway,Commack,Commack Lowe's,3159,NY,26.5
11772,825 Montauk Highway,East Patchogue,Patchogue Lowe's,2731,NY,30.6
11706,800 Sunrise Highway,Bay Shore,Bay Shore Lowe's,1709,NY,29.8
12550,1239 Route 300,Newburgh,Newburgh Lowe's,1584,NY,33.2
10710,100 RIDGE HILL BLVD,Yonkers,Yonkers Lowe's,3305,NY,13
10962,206 Route 303,Orangeburg,Orangeburg Lowe's,1192,NY,16.9
11530,700 Dibblee Drive,Garden City,Garden City Lowe's,1624,NY,20
11801,920 South Broadway,Hicksville,Hicksville Lowe's,2612,NY,20.4
10954,100 Overlook Boulevard,Nanuet,Clarkstown Lowe's,2249,NY,21.6
11735,90 Price Parkway,Farmingdale,Farmingdale Lowe's,1917,NY,22.3
7652,2000 Bergen Town Center,Paramus,Paramus Lowe's,2431,NJ,23.7
7047,7801 TONNELLE AVENUE,North Bergen,North Bergen Lowe's,1106,NJ,24.2
7950,230 East Hanover Ave,Morris Plains,Hanover Lowe's,1921,NJ,7
7405,1210 ROUTE 23 NORTH,Butler,Butler Lowe's,1957,NJ,7
7504,265 Mclean Boulevard,Paterson,Paterson Lowe's,2328,NJ,14.2
7836,20 International Drive South,Flanders,MT. Olive Lowe's,1512,NJ,15.6
7083,1721 MORRIS AVENUE,Union,Union Lowe's,1939,NJ,16.5
7073,150 ROUTE 17 NORTH,East Rutherford,E. Rutherford Lowe's,1942,NJ,17.2
7304,727 ROUTE 440,Jersey City,Jersey City Lowe's,1937,NJ,20.5
7860,39 Hampton House Road,Newton,Hampton Township Lowe's,1976,NJ,21.1
7002,400 Bayonne Crossing Way,Bayonne,Bayonne Lowe's,2676,NJ,16.9
10303,2171 Forest Avenue,Staten Island,N.W. Staten Island Lowe's,1583,NY,17.3
11215,118 2ND Avenue,Brooklyn,Brooklyn Lowe's,1674,NY,13.4
10309,2790 Arthur Kill Road,Staten Island,S. Staten Island Lowe's,1597,NY,8.7
7095,51 Woodbridge Center Drive,Woodbridge,Woodbridge Lowe's,1658,NJ,11.1
11234,5602 Avenue U,Brooklyn,Brooklyn - Kings Plaza Lowe's,2284,NY,11.4
8854,1345 CENTENNIAL AVE.,Piscataway,Piscataway Lowe's,692,NJ,11.2
7733,2194 State Route 35,Holmdel,Holmdel Lowe's,1035,NJ,11.7
8816,339 STATE HIGHWAY ROUTE 18,East Brunswick,E. Brunswick Lowe's,1862,NJ,12.7
7751,57 HIGHWAY 9 S,Morganville,Marlboro Lowe's,1567,NJ,15.7
8844,315 Route 206 Suite 600,Hillsborough,Hillsborough Lowe's,1656,NJ,15.4
8822,150 ROUTE 31,Flemington,Flemington - Raritan Lowe's,2552,NJ,19.9
7840,217 Mountain Avenue,Hackettstown,Hackettstown Lowe's,1938,NJ,19.9
18336,115 Wenlock Road,Matamoras,Matamoras Lowe's,1952,PA,15.7
10918,3924 Summerville Way,Chester,Chester Lowe's,2685,NY,20.4
10941,700 NORTH GALLERIA DRIVE,Middletown,Middletown Lowe's,540,NY,23.5
7724,118 Highway 35,Eatontown,Eatontown Lowe's,1548,NJ,4.8
7731,4975 Us Highway 9,Howell,Howell Lowe's,1676,NJ,17.7
8723,520 Route 70,Brick,Brick Township Lowe's,1535,NJ,13.7
8753,1375 Hooper Avenue,Toms River,Toms River Lowe's,1608,NJ,18.2
